sic_2digit,sector_name,elasticity,ci_lower,ci_upper,bunching_ratio,vat_registered_firms,cost_ratio,data_source
1,Agriculture,3.0,3.0,3.0,2.2217673260841084,126770,0.5,HMRC VAT Statistics 2023-24
41,Construction,3.0,3.0,3.0,2.2217673260841084,108430,0.6,HMRC VAT Statistics 2023-24
43,Specialised Construction,3.0,3.0,3.0,2.2217673260841084,195830,0.5,HMRC VAT Statistics 2023-24
45,Motor Trade,3.0,3.0,3.0,2.2217673260841084,67550,0.8,HMRC VAT Statistics 2023-24
46,Wholesale,3.0,3.0,3.0,1.5552371282588757,98080,0.85,HMRC VAT Statistics 2023-24
47,Retail,3.0,3.0,3.0,2.888297523909341,290780,0.75,HMRC VAT Statistics 2023-24
56,Food Service,3.0,3.0,3.0,3.1104742565177514,106570,0.65,HMRC VAT Statistics 2023-24
69,Legal & Accounting,3.0,3.0,3.0,1.777413860867287,56760,0.35,HMRC VAT Statistics 2023-24
70,Consultancy,3.0,2.401910802889209,3.0,1.5552371282588757,131400,0.3,HMRC VAT Statistics 2023-24
81,Building Services,3.0,3.0,3.0,2.66612079130093,35200,0.45,HMRC VAT Statistics 2023-24
96,Personal Services,3.0,3.0,3.0,3.3326509891261624,37910,0.25,HMRC VAT Statistics 2023-24
62,IT Services,2.053409630250409,1.3008345184087922,2.73419662885273,1.333060395650465,116650,0.3,HMRC VAT Statistics 2023-24
