Trade_Sector,Trade_Sub_Sector,2023-24
00001,"Crop and animal production, hunting and related service activities",117930
00002,Forestry and logging,5150
00003,Fishing and aquaculture,3790
00005,Mining of coal and lignite,30
00006,Extraction of crude petroleum and natural gas,230
00007,Mining of metal ores,80
00008,Other mining and quarrying,780
00009,Mining and support service activities,1470
00010,Manufacture of food products,8840
00011,Manufacture of beverages,3190
00012,Manufacture of tobacco products,70
00013,Manufacture of textiles,3940
00014,Manufacture of wearing apparel,2970
00015,Manufacture of leather and related products,710
00016,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",8010
00017,Manufacture of paper and paper products,1570
00018,Printing and reproduction of recorded media,9560
00019,Manufacture of coke and refined petroleum products,180
00020,Manufacture of chemicals and chemical products,3430
00021,Manufacture of basic pharmaceutical products and pharmaceutical preparations,790
00022,Manufacture of rubber and rubber products,4590
00023,Manufacture of other non-metallic mineral products,4060
00024,Manufacture of basic metals,2320
00025,"Manufacture of fabricated metal products, except machinery and equipment",19170
00026,"Manufacture of computer, electronic and optical products",5630
00027,Manufacture of electrical equipment,2690
00028,Manufacture of machinery and equipment n.e.c,7440
00029,"Manufacture of motor vehicles, trailers and semi-trailers",2970
00030,Manufacture of other transport equipment,1970
00031,Manufacture of furniture,5590
00032,Other manufacturing,9760
00033,Repair and installation of machinery and equipment,12640
00035,"Electricity, gas, steam and air conditioning supply",7120
00036,"Water collection, treatment and supply",630
00037,Sewerage,840
00038,"Waste collection, treatment and disposal activities; materials recovery",4970
00039,Remediation activities and other waste management services,1180
00041,Construction of buildings,108430
00042,Civil engineering,20940
00043,Specialised construction activities,195830
00045,Wholesale and retail trade and repair of motor vehicles and motorcycles,67550
00046,"Wholesale trade, except of motor vehicles and motorcycles",98080
00047,Retail trade except of motor vehicles and motorcycles,290780
00049,Land transport and transport via pipelines,51830
00050,Water transport,1370
00051,Air transport,1070
00052,Warehousing and support activities for transportation,11610
00053,Postal and courier activities,28550
00055,Accommodation,17460
00056,Food and beverage service activities,106570
00058,Publishing activities,10980
00059,"Motion picture, video and television programme production, sound recording and music publishing activities",29320
00060,Programming and broadcasting activities,1410
00061,Telecommunications,6750
00062,"Computer programming, consultancy and related activities",116650
00063,Information service activities,6640
00064,"Financial service activities, except insurance and pension funding",12770
00065,"Insurance, reinsurance and pension funding, except compulsory social security",2900
00066,Activities auxiliary to financial services and insurance activities,6140
00068,Real estate activities,107180
00069,Legal and accounting services,56760
00070,Activities of head offices; management consultancy services,131400
00071,Architectural and engineering activities; technical testing and analysis,62270
00072,Scientific research and development,5650
00073,Advertising and market research,18930
00074,"Other professional, scientific and technical activities",45160
00075,Veterinary activities,3470
00077,Rental and leasing activities,17530
00078,Employment activities,24470
00079,"Travel agency, tour operator and other reservation service and related activities",6550
00080,Security and investigation activities,8090
00081,Services to buildings and landscape activities,35200
00082,Office administrative and support activities,47640
00084,Public administration and defence; compulsory social security,3400
00085,Education,20920
00086,Human health activities,9160
00087,Residential care activities,1550
00088,Social work activities without accommodation,2990
00090,"Creative, arts and entertainment activities",27010
00091,"Libraries, archives, museums and other cultural activities",1080
00092,Gambling and betting activities,370
00093,Sports activities and amusement and recreation activities,30820
00094,Activities of membership organisations,8320
00095,Repair of computers and personal and household goods,4670
00096,Other personal service activities,37910
00097,Activities of households as employers of domestic personnel,130
00098,Undifferentiated goods- and services-producing activities of private households for own use,140
00099,Activities of extraterritorial organisations and bodies,60
Total,,2178950
