Financial_Year,Negative_or_Zero,£1_to_Threshold,£Threshold_to_£150k,£150k_to_£300k,£300k_to_£500k,£500k_to_£1m,£1m_to_£10m,Greater_than_£10m,Unknown,Total
2004-05,155820,559510,451390,257420,134860,121810,142720,23500,0,1847030
2005-06,191450,602910,440700,254460,132240,118110,139290,23710,40050,1942920
2006-07,269480,578240,446800,267030,141200,127650,154820,26160,0,2011380
2007-08,270060,617920,433270,268310,142380,131830,160530,26780,0,2051080
2008-09,263770,618080,417410,270400,141260,131860,158740,26830,42340,2070690
2009-10,269450,625610,393750,258250,135420,124520,148210,25190,39800,2020180
2010-11,233300,627540,387630,263380,137040,126160,151690,26350,44080,1997160
2011-12,196770,641310,378070,270950,139110,129300,156260,27560,56110,1995440
2012-13,197580,666670,358250,272340,138120,128940,156880,27800,54090,2000650
2013-14,219850,680150,353640,280500,141150,132160,163040,29270,61470,2061220
2014-15,226320,702100,352280,290160,144850,137210,170760,30810,73580,2128080
2015-16,246320,740080,359750,297390,147780,139440,175940,31490,79670,2217840
2016-17,265640,777330,362070,307320,151550,142730,181640,33170,87140,2308580
2017-18,292510,752520,342910,306610,154870,146150,187480,34720,113980,2331730
2018-19,310900,741550,346830,314620,157810,149410,191820,36130,103180,2352250
2019-20,413970,732800,345250,318210,158960,150540,194580,36830,103750,2454910
2020-21,462810,834440,297100,281300,147050,141160,180320,34100,103050,2481330
2021-22,449120,773120,294410,312460,172520,166910,214490,40230,131220,2554470
2022-23,402860,705960,307250,331490,181670,176740,231290,44090,11440,2392790
2023-24,216500,678350,305320,334470,184080,180500,235060,44680,0,2178950
