SIC Code,Description,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total
01,Crop and animal production; hunting and related service activities,119405,11525,3095,1195,350,155,90,135815
02,Forestry and logging,4180,530,250,105,25,5,0,5095
03,Fishing and aquaculture,3640,345,125,25,10,0,0,4145
05,Mining of coal and lignite,5,0,0,0,0,0,0,5
06,Extraction of crude petroleum and natural gas,70,15,10,15,10,15,15,150
07,Mining of metal ores,5,0,0,0,0,0,0,5
08,Other mining and quarrying,725,300,220,150,45,20,5,1465
09,Mining support service activities,260,40,25,35,20,15,15,410
10,Manufacture of food products,5315,1870,1365,1050,495,440,405,10940
11,Manufacture of beverages,1910,445,315,200,80,60,45,3055
12,Manufacture of tobacco products,0,5,0,0,0,0,0,5
13,Manufacture of textiles,2875,765,455,310,125,60,10,4600
14,Manufacture of wearing apparel,2830,515,255,160,50,10,5,3825
15,Manufacture of leather and related products,415,160,65,40,15,5,5,705
16,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,7955,1395,795,510,175,60,15,10905
17,Manufacture of paper and paper products,705,190,195,235,135,130,30,1620
18,Printing and reproduction of recorded media,7245,1535,725,470,150,90,20,10235
19,Manufacture of coke and refined petroleum products,40,15,10,15,15,10,10,115
20,Manufacture of chemicals and chemical products,2000,505,350,435,230,160,65,3745
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,400,75,40,75,50,40,55,735
22,Manufacture of rubber and plastic products,2460,1095,835,805,415,265,65,5940
23,Manufacture of other non-metallic mineral products,2800,925,615,465,215,130,30,5180
24,Manufacture of basic metals,1070,275,235,250,105,65,35,2035
25,Manufacture of fabricated metal products; except machinery and equipment,13980,3870,2855,2145,715,280,70,23915
26,Manufacture of computer; electronic and optical products,3335,850,560,610,265,165,55,5840
27,Manufacture of electrical equipment,1640,480,420,430,195,120,40,3325
28,Manufacture of machinery and equipment n.e.c.,4155,1205,865,845,410,225,105,7810
29,Manufacture of motor vehicles; trailers and semi-trailers,2455,475,295,275,170,125,95,3890
30,Manufacture of other transport equipment,1430,245,145,135,105,85,95,2240
31,Manufacture of furniture,4450,1075,650,450,175,95,30,6925
32,Other manufacturing,7045,1590,655,420,150,90,35,9985
33,Repair and installation of machinery and equipment,11995,1695,985,580,180,130,50,15615
35,Electricity; gas; steam and air conditioning supply,5200,730,390,275,145,155,95,6990
36,Water collection; treatment and supply,375,170,145,165,65,45,40,1005
37,Sewerage,975,260,175,180,45,35,5,1675
38,Waste collection; treatment and disposal activities; materials recovery,4630,1480,1065,950,395,220,55,8795
39,Remediation activities and other waste management services,845,210,135,85,15,5,0,1295
41,Construction of buildings,110965,9690,4175,1665,625,395,80,127595
42,Civil engineering,18605,2615,1330,955,415,205,95,24220
43,Specialised construction activities,203530,21540,8795,4060,1010,375,70,239380
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,64535,16060,6460,4050,1130,330,50,92615
46,Wholesale trade; except of motor vehicles and motorcycles,75485,21110,13315,7750,2300,1005,390,121355
47,Retail trade; except of motor vehicles and motorcycles,185010,58960,35145,16905,3285,2255,1040,302600
49,Land transport and transport via pipelines,52885,6295,3610,2665,1080,665,320,67520
50,Water transport,1060,190,115,85,35,10,10,1505
