SIC Code,Description,0-49,50-99,100-249,250-499,500-999,1000-4999,5000+,Total
01,Crop and animal production; hunting and related service activities,42455,24050,29210,16385,11110,8190,1015,132415
02,Forestry and logging,850,1035,1640,680,345,255,45,4850
03,Fishing and aquaculture,1245,790,990,500,195,215,50,3985
05,Mining of coal and lignite,0,0,0,0,0,0,5,5
06,Extraction of crude petroleum and natural gas,10,10,10,15,10,15,40,110
07,Mining of metal ores,0,0,0,0,0,0,0,0
08,Other mining and quarrying,80,75,150,70,70,150,115,710
09,Mining support service activities,45,50,120,25,20,40,70,370
10,Manufacture of food products,1465,1360,2140,1205,870,1200,1170,9410
11,Manufacture of beverages,645,465,665,330,260,275,135,2775
12,Manufacture of tobacco products,0,0,0,0,0,0,0,0
13,Manufacture of textiles,480,840,1260,625,415,505,215,4340
14,Manufacture of wearing apparel,580,920,1145,460,290,255,85,3735
15,Manufacture of leather and related products,125,135,140,55,45,65,30,595
16,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,720,2440,3630,1345,975,1025,380,10515
17,Manufacture of paper and paper products,155,175,250,120,120,270,310,1400
18,Printing and reproduction of recorded media,1740,1960,2850,1205,850,940,295,9840
19,Manufacture of coke and refined petroleum products,5,5,10,5,5,10,45,85
20,Manufacture of chemicals and chemical products,450,465,615,340,250,515,635,3270
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,90,65,160,70,45,75,145,650
22,Manufacture of rubber and plastic products,370,460,885,640,675,1310,890,5230
23,Manufacture of other non-metallic mineral products,270,565,955,585,440,775,415,4005
24,Manufacture of basic metals,170,230,415,220,205,325,280,1845
25,Manufacture of fabricated metal products; except machinery and equipment,2000,4325,5060,3110,2615,4000,1475,22585
26,Manufacture of computer; electronic and optical products,885,795,1120,570,465,905,655,5395
27,Manufacture of electrical equipment,355,325,605,330,310,640,460,3025
28,Manufacture of machinery and equipment n.e.c.,775,810,1515,870,760,1455,950,7135
29,Manufacture of motor vehicles; trailers and semi-trailers,320,475,1230,405,310,455,380,3575
30,Manufacture of other transport equipment,240,495,480,185,150,195,195,1940
31,Manufacture of furniture,490,1155,2060,960,760,915,335,6675
32,Other manufacturing,1470,2045,2625,1245,920,935,355,9595
33,Repair and installation of machinery and equipment,1540,3755,4510,1845,1240,1360,440,14690
35,Electricity; gas; steam and air conditioning supply,1210,640,1310,835,680,910,415,6000
36,Water collection; treatment and supply,10,5,15,10,5,20,35,100
37,Sewerage,95,200,350,215,150,165,50,1225
38,Waste collection; treatment and disposal activities; materials recovery,480,605,1565,935,770,1170,685,6210
39,Remediation activities and other waste management services,110,205,300,160,155,215,65,1210
41,Construction of buildings,14640,14325,37080,25040,15385,12255,3100,121825
42,Civil engineering,2165,3705,7230,3310,2160,2620,1215,22405
43,Specialised construction activities,15930,56355,88660,34550,19270,17435,3770,235970
