firm_id,sic,employment,turnover_baseline,turnover_reported,registered,vat_liability,compliance_cost,scheme_used,profit_change,cash_flow_cost,effective_rate,total_burden,weight,scenario_id,scenario_name
firm_1378655,59,3,79.250145,79.250145,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,2.1585104,S0,Current System
firm_1106271,49,4,110.93593,110.93593,True,13.3123116,10.01,flat_rate,-23.3223116,0.10795737626301369,0.12,23.43026897626301,0.9998192,S0,Current System
firm_971704,47,1,109.04363,109.04363,True,8.17827225,10.01,flat_rate,-18.188272249999997,0.06632242701369863,0.075,18.254594677013696,2.6577854,S0,Current System
firm_2446992,86,3,78.514725,78.514725,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.13503228,S0,Current System
firm_2680576,96,4,84.965256,84.965256,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.57306373,S0,Current System
firm_1409041,61,59,110.6523,110.6523,True,13.278276,5.389999999999999,flat_rate,-18.668276,0.10768136153424658,0.12000000000000001,18.775957361534246,0.8795756,S0,Current System
firm_765451,46,3,87.21093,87.21093,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,2.564773,S0,Current System
firm_2588141,93,6,95.35745,93.24285095536325,True,11.18914211464359,7.699999999999999,flat_rate,-29.611162531661286,0.09073934427217814,0.11999999999999998,18.97988145891577,0.7225194,S0,Current System
firm_1892810,70,3,84.51513,84.51513,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.9990202,S0,Current System
firm_1080124,49,10,97.13212,95.01758028211198,True,11.402109633853437,7.699999999999999,flat_rate,-29.195738815353465,0.0924664233320717,0.12,19.19457605718551,0.7369727,S0,Current System
firm_43115,1,12,70.6425,70.6425,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.8720065,S0,Current System
firm_2596423,93,1,81.75551,81.75551,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.8124855,S0,Current System
firm_1761738,69,1,105.82014,105.82014,True,15.343920299999999,10.01,flat_rate,-25.3539203,0.12443288791232876,0.145,25.478353187912326,0.9999903,S0,Current System
firm_1446900,62,2,85.32255,85.32255,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.99908125,S0,Current System
firm_493054,43,4,81.68938,81.68938,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,2.0839212,S0,Current System
firm_48977,1,1,76.10928,76.10928,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.9999791,S0,Current System
firm_90912,1,1,73.283615,73.283615,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.4315479,S0,Current System
firm_1489277,62,3,104.440445,104.440445,True,12.532853399999999,10.01,flat_rate,-22.5428534,0.10163629058630136,0.12,22.6444896905863,0.80820686,S0,Current System
firm_2592238,93,2,105.17347,105.17347,True,12.620816399999999,10.01,flat_rate,-22.6308164,0.1023496343671233,0.12,22.733166034367123,0.7419179,S0,Current System
firm_281494,37,5,118.15681,118.15681,True,14.1788172,7.699999999999999,flat_rate,-21.8788172,0.1149843805808219,0.12,21.993801580580822,0.73026264,S0,Current System
firm_881246,47,3,77.09906,77.09906,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.7219982,S0,Current System
firm_2397753,85,28,119.58364,119.58364,True,14.3500368,5.389999999999999,flat_rate,-19.7400368,0.11637290117260275,0.12,19.856409701172602,0.4535709,S0,Current System
firm_1378460,59,50,73.41171,73.41171,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.999444,S0,Current System
firm_67869,1,3,83.538765,83.538765,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.0004253,S0,Current System
firm_950907,47,4,74.87756,74.87756,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,4.1998067,S0,Current System
firm_1952644,71,3,88.31364,88.31364,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.9980699,S0,Current System
firm_469336,43,2,72.736084,72.736084,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.9997405,S0,Current System
firm_1189023,55,4,86.74074,86.74074,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.0926261,S0,Current System
firm_1825654,70,4,75.542046,75.542046,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,0.99980056,S0,Current System
firm_894963,47,13,85.9285,85.9285,False,0.0,0.0,unregistered,0.0,0.0,0.0,0.0,1.6881402,S0,Current System
firm_1860077,70,2,110.202484,110.202484,True,13.224298079999999,10.01,flat_rate,-23.23429808,0.10724362278575342,0.12,23.34154170278575,0.75498426,S0,Current System
firm_889642,47,2,113.25244,113.25244,True,8.493933,10.01,flat_rate,-18.503933,0.06888230597260274,0.075,18.572815305972604,2.5029132,S0,Current System
firm_1216096,56,3,98.57343,96.20373798355095,True,12.025467247943869,10.01,flat_rate,-33.94212221565786,0.09752159740798316,0.125,22.132988845351854,0.67504406,S0,Current System
