firm_id,scenario_id,turnover_baseline,turnover_reported,vat_liability,effective_vat_rate,operating_profit_change,registered,static_vat,behavioral_vat,quantity_change,price_change,bunching_adjustment,mode
A1_hairdresser_80k,S0,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A1_hairdresser_89k,S0,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A1_hairdresser_91k,S0,91,91.0,15.288000000000002,0.168,-15.288000000000002,True,15.288000000000002,15.288000000000002,0.0,0.0,0.0,static
A1_hairdresser_105k,S0,105,105.0,17.64,0.168,-17.64,True,17.64,17.64,0.0,0.0,0.0,static
A2_bicycle_80k,S0,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A2_bicycle_89k,S0,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A2_bicycle_91k,S0,91,91.0,15.106000000000002,0.166,-15.106000000000002,True,15.106000000000002,15.106000000000002,0.0,0.0,0.0,static
A2_bicycle_105k,S0,105,105.0,17.430000000000003,0.16600000000000004,-17.430000000000003,True,17.430000000000003,17.430000000000003,0.0,0.0,0.0,static
A3_cafe_85k,S0,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A3_cafe_95k,S0,95,95.0,12.16,0.128,-12.16,True,12.16,12.16,0.0,0.0,0.0,static
A3_cafe_120k,S0,120,120.0,15.36,0.128,-15.36,True,15.36,15.36,0.0,0.0,0.0,static
A4_contractor_88k,S0,88,88.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A4_contractor_100k,S0,100,100.0,3.5,0.035,-3.5,True,3.5,3.5,0.0,0.0,0.0,static
A4_contractor_130k,S0,130,130.0,4.55,0.034999999999999996,-4.55,True,4.55,4.55,0.0,0.0,0.0,static
A5_accounting_85k,S0,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A5_accounting_95k,S0,95,95.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,static
A5_accounting_140k,S0,140,140.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,static
A1_hairdresser_80k,S1,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A1_hairdresser_89k,S1,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A1_hairdresser_91k,S1,91,91.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A1_hairdresser_105k,S1,105,105.0,17.64,0.168,-17.64,True,17.64,17.64,0.0,0.0,0.0,static
A2_bicycle_80k,S1,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A2_bicycle_89k,S1,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A2_bicycle_91k,S1,91,91.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
A2_bicycle_105k,S1,105,105.0,17.430000000000003,0.16600000000000004,-17.430000000000003,True,17.430000000000003,17.430000000000003,0.0,0.0,0.0,static
A3_cafe_85k,S1,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,static
